code,name,suggested_price_from_lab,price
CD4,CD 4 SUBPOBLACION LINFOCITARIA POR CF,9793,$12.730
CEA,CEA ANTIG CARCINOEMBRIONARIO,1475,$1.918
CHAT,CHAGAS ANTIC. TOTALES,1203,$1.563
CHI,CHAGAS IFI IgG,1565,$2.035
CHM,CHAGAS IFI IgM,2320,$3.016
CHH,CHAGAS POR HEMAGLUTINACION IND HAI,3720,$4.836
CLNE G,CHLAMYDIA PNEUMONIAE  IgG,5000,$6.500
CLNE M,CHLAMYDIA PNEUMONIAE  IgM,5000,$6.500
CLTR G,CHLAMYDIA TRACHOMATIS  IgG,5000,$6.500
CLTR M,CHLAMYDIA TRACHOMATIS  IgM,5000,$6.500
CLTR Ag,CHLAMYDIA TRACHOMATIS Antigeno,36730,$47.749
CCL,CICLOSPORINA,13975,$18.168
CIS,CISTINURIA,5178,$6.731
CMV G,CITOMEGALOVIRUS ANTIC. IgG,1408,$1.830
CMV M,CITOMEGALOVIRUS ANTIC. IgM,2413,$3.136
CIT,CITRICO ACIDO Orina,6188,$8.044
CITRICO,CITRICO ACIDO Suero,2018,$2.623
ACS,CITRICO ACIDO en plasma seminal,8175,$10.628
CBN,CLOBAZAN,13318,$17.313
CNZ,CLONAZEPAN,10483,$13.627
CLOS,CLOSTRIDIUM DIFFICILE TOXINA A+B INVEST.DE,36000,$46.800
CLOZAP,CLOZAPINA DETERMINACION DE,12775,$16.608
COA,COAGULOGRAMA BASICO,1068,$1.388
CU,COBRE EN SANGRE,17363,$22.571
CU-U,COBRE en orina,17363,$22.571
COCAINA,COCAINA en orina,4155,$5.402
COFACTOR,COFACTOR DE RISTOCETINA,16400,$21.320
HDL,COLESTEROL HDL,432,$562
LDL,COLESTEROL LDL,254,$330
COL,COLESTEROL TOTAL,503,$654
VLD,COLESTEROL VLDL,330,$429
,COLINESTERASA / PSEUDOCOLINESTERASA,378,$491
C50,COMPLEMENTO Actividad total (CH50),43090,$56.017
C1Q,COMPLEMENTO C1Q,18603,$24.183
C3,COMPLEMENTO INMUNOQ. C3,708,$920
C4,COMPLEMENTO INMUNOQ. C4,708,$920
,COOMBS INDIRECTA,858,$1.115
CBD,COOMBS DIRECTA PRUEBA,738,$959
CMF,COPROCULTIVO,4115,$5.350
CPO,COPROPORFIRINAS en orina,6643,$8.635
COR,CORTISOL PLASMATICO,1045,$1.359
COR-S,CORTISOL SALIVAL,1823,$2.369
COR-U,CORTISOL URINARIO,1045,$1.359
COR-V,CORTISOL VESPERTINO,1045,$1.359
CKM,CPK-MB,2020,$2.626
CDC,CREATININA CLEARENCE O DEPURAC.,1036,$1.347
AS-CR-U,CREATININA en orina,518,$673
CRE,CREATININA en sangre,518,$673
CPK,CREATINQUINASA CPK,749,$974
CRG,CRIOGLOBULINAS,1618,$2.103
CALCSAL,Calculo Salival,10525,$13.683
