code,name,suggested_price_from_lab,price
BRUCE G,BRUCELLA ANTIC.ANTI  ELISA IgG,2214,$2.878
BRUCE M,BRUCELLA ANTIC.ANTI  ELISA IgM,2214,$2.878
C125,CA 125 (ovario),810,$1.053
C15,CA 15/3 (mama),744,$967
C19,CA 19/9 (Digest.Ginecolog.),744,$967
C21,CA 21-1,7027,$9.135
C72,CA 72-4,4593,$5.970
CKO,CADENAS LIVIANAS en orina,9458,$12.296
CLKL,CADENAS LIVIANAS en suero cuali,11856,$15.413
CKL,"CADENAS LIVIANAS,KAPPA Y LAMBDA CUANTI",70931,$92.210
CADMIO,CADMIO Determinac.de,6961,$9.050
CA-CR-OC,CALCIO CREATININA EN ORINA OCACIONAL,604,$786
CAIL,CALCIO IONICO L,563,$731
CAS,CALCIO SERICO TOTAL,330,$429
CAU,CALCIO en orina,330,$429
CAUE,CALCIO en orina espontanea,331,$430
CAL,CALCITONINA Plasmática,1670,$2.170
C BILIAR,CALCULO BILIAR,7233,$9.403
CBZ,CARBAMAZEPINA,1238,$1.609
BGT,CARIOTIPO-BANDEO G-T,44246,$57.519
CRT,CARNITINA LIBRE Y TOTAL,61498,$79.947
CATP,CATECOLAMINAS PLASMATICAS,10128,$13.166
CATP,CATECOLAMINAS TOTALES-Orina,11034,$14.344
CD16,CD 16 SUBPOBLAC. LINFOCITARIA POR CF,6729,$8.748
CD19,CD 19 SUBPOBLAC. LINFOCITARIA Citometria de fluj,8743,$11.366
CD20,CD 20 SUBPOBLAC. LINFOCITARIA Citometria de fluj,6732,$8.751
CD3,CD 3 SUBPOBLACION LINFOCITARIA POR CF,6732,$8.751
CD57,CD 4 SUBPOBLAC. LINFOCITARIA Citometria de fluj,6732,$8.751
CD4,CD 4 SUBPOBLACION LINFOCITARIA POR CF,6732,$8.751
CD56,CD 56 SUBPOBLAC. LINFOCITARIA POR CF,5482,$7.127
CD8,CD 8 SUBPOBLAC. LINFOCITARIA Citometria de fluj,5330,$6.929
CEA,CEA ANTIG CARCINOEMBRIONARIO,894,$1.162
CHAT,CHAGAS ANTIC. TOTALES,515,$669
CHI,CHAGAS IFI IgG,1311,$1.704
CHM,CHAGAS IFI IgM,1761,$2.290
CHH,CHAGAS POR HEMAGLUTINACION IND HAI,1366,$1.775
CLNE G,CHLAMYDIA PNEUMONIAE  IgG,3432,$4.462
CLNE M,CHLAMYDIA PNEUMONIAE  IgM,3432,$4.462
CLPS G,CHLAMYDIA PSITACCI  IgG,3691,$4.798
CLPS M,CHLAMYDIA PSITACCI  IgM,4948,$6.432
CLTR A,CHLAMYDIA TRACHOMATIS  IgA,7897,$10.266
CLTR G,CHLAMYDIA TRACHOMATIS  IgG,3432,$4.462
