code,name,suggested_price_from_lab,price
R OTROS,IGE ESPECIFICOS OTROS ,3444,$5.166
R PENIN,IgE ESPECIFICA - PENICILINA INYECTABLE,3444,$5.166
IGF,IGF-I   -  SOMATOMEDINA C,5515,$8.272
IGG,INMUNOGLOBULINA G -IGG ,934,$1.401
IGM,INMUNOGLOBULINA M - IGM ,934,$1.401
INSUL,INSULINA SERICA TOTAL,1039,$1.559
ION,IONOGRAMA PLASMATICO,590,$885
IOU,IONOGRAMA URINARIO,618,$927
LDH,LACTICO DEHIDROGENASA LDH,481,$721
LAM,LAMOTRIGINA,19760,$29.640
LARC,LATEX ARTRITIS REUMATOIDEA CUANTITATIVO,899,$1.348
LMF,LEUCOCITOS EN MATERIA FECAL,5690,$8.535
LH,LH HORMONA LUTEOTROFICA,1029,$1.543
LIP,LIPEMIA O LIPIDOS TOTALES EN SAN,927,$1.390
LIG,LIPIDOGRAMA ELECTROFORETICO,986,$1.480
LPA,LIPOPROTEINA A,5009,$7.514
LIT,LITIO PLASMATICO,1980,$2.970
ILU,LUPICO ANTICOAGULANTE O INHIBIDOR,15175,$22.763
MGU,MAGNESIO en orina,652,$977
MGS,MAGNESIO en sangre,652,$977
AMANDE,MANDELICO ACIDO,15386,$23.079
PPD,MANTOUX INTRADERMORREACCION,2713,$4.069
MET,METANEFRINA en orina,15835,$23.753
AC METIL,METIL HIPURICO ACIDO  en ORINA,8871,$13.306
MIC1,MICOLOGICO,7846,$11.769
ALB-U2,MICROALBUMINURIA (Orina 2 hs),1583,$2.375
ALB-U,MICROALBUMINURIA - ALBUMINA EN ORINA,2040,$3.060
ALB-UE,MICROALBUMINURIA EN ORINA ESPONTANEA,1583,$2.375
AMAM2,MITOCONDRIAL TIPO 2,11942,$17.913
MONO,MONO TEST,881,$1.322
MYC,MYCOPLASMA CULTIVO,10957,$16.435
ORI,ORINA COMPLETA,1404,$2.106
PMF,PARAS. MAT FECAL,1404,$2.106
PTH,PARATHORMONA,1327,$1.990
PARO G,PAROTIDITIS ANTIC.ANTI IgG,16334,$24.501
PARO M,PAROTIDITIS ANTIC.ANTI IgM,16011,$24.016
BNP,PRO BNP,28353,$42.530
PRO CAL,PROCALCITONINA,17278,$25.917
PG,PROGESTERONA PLASMATICA,1052,$1.578
PL,PROLACTINA,1011,$1.516
PCR,PCR,2478,$3.717
PPDMAN,PPD MANTOUX,2713,$4.070
PROT C,PROTEINA C FUNCIONAL,13304,$19.956
PCR,PROTEINA C REACTIVA,2478,$3.717
PROS L,PROTEINA S LIBRE,14501,$21.752
PRO,PROTEINAS TOTALES,6270,$9.405
PRU,PROTEINAS URINARIAS 12/24 hs,1303,$1.955
PTG,PROTEINOGRAMA,6270,$9.404
20210,PROTOMBINA 20210,39762,$59.643
PRR,PRUEBA DE ROSSE RAGAN,5585,$8.378
RPCA,RESIST. A LA PROTEINA C ACTIVA,13648,$20.473
RET,RETICULOCITOS,643,$965
RUG,RUBEOLA ANTIC.ANTI IgG ELISA,2591,$3.886
RUM,RUBEOLA ANTIC.ANTI IgM ELISA,2408,$3.612
SOM,SANGRE OCULTA - MATERIA FECAL,2247,$3.370
SAT,SATURACION DE TRANSFERRINA,1313,$1.969
SEL,SELENIO,24053,$36.080
SER,SEROTONINA,17605,$26.407
SER-O,SEROTONINA EN ORINA DE 24HS,21701,$32.552
HGH,SOMATOTROFINA,2148,$3.223
SUBCUAN,SUB UNIDAD BETA CUANTITATIVA,2745,$4.118
SUBCUAL,SUB UNIDAD BETA CUALITATIVA,1373,$2.059
DHEAS,SULFATO DEHIDROEPIANDROSTERONA,1657,$2.485
T3,T3 - TRIIODOTIRONINA,1349,$2.024
T3L,T3 LIBRE,2054,$3.081
T4,T4 - TIROXINA TOTAL,663,$994
T4L,T4 LIBRE,1349,$2.024
GHM,TEST DE GRAHAM,1178,$1.767
TEB,TESTOSTERONA BIODISPONIBLE,2984,$4.476
TEL,TESTOSTERONA LIBRE en suero,2068,$3.101
TES,TESTOSTERONA PLASMATICA,928,$1.392
TG,TIROGLOBULINA,1587,$2.380
TXG,TOXOPLASMOSIS ANTIC. IgG,2320,$3.481
TX-AVI,TOXOPLASMOSIS ANTIC.ANTI IgG AVIDEZ,7976,$11.963
TXM,TOXOPLASMOSIS IgM-IFI REMINGTON T.DE,2678,$4.018
TRABS,TRABS,10451,$15.677
TGO,TRANSAMINASA GLUTAMICO OXALACETICA,449,$674
