code,name,suggested_price_from_lab,price
CP,CERULOPLASMINA,12917, $18.084
CHI,CHAGAS IFI IgG,4367, $6.114
CHM,CHAGAS IFI IgM,6474, $9.064
CHH,CHAGAS POR HEMAGLUTINACION IND HAI,10380, $14.532
CLNE G,CHLAMYDIA PNEUMONIAE  IgG,13952, $19.533
CLNE M,CHLAMYDIA PNEUMONIAE  IgM,13952, $19.533
CLTR A,CHLAMYDIA TRACHOMATIS  IgA,55000, $77.000
CLTR G,CHLAMYDIA TRACHOMATIS  IgG,13952, $19.533
CLTR M,CHLAMYDIA TRACHOMATIS  IgM,13952, $19.533
CLTR AgH V,CHLAMYDIA TRACHOMATIS ANTIGENO HISOPADO SOLO VAGINAL,54703, $76.584
CLTR AgH SU,"CHLAMYDIA TRACHOMATIS ANTIGENO HISOPADO(SEMEN, URETRAL)",95000, $133.000
CIS,CISTINURIA,14447, $20.226
CMV G,CITOMEGALOVIRUS ANTIC. IgG,3927, $5.498
CMV M,CITOMEGALOVIRUS ANTIC. IgM,6732, $9.425
CIT,CITRICO ACIDO Orina,17265, $24.171
CITRICO,CITRICO ACIDO Suero,5629, $7.881
ACS,CITRICO ACIDO en plasma seminal,22811, $31.935
CBN,CLOBAZAN,37160, $52.024
CNZ,CLONAZEPAN,29250, $40.950
CLOS,CLOSTRIDIUM DIFFICILE TOXINA A+B INVEST.DE,100452, $140.633
CLOZAP,CLOZAPINA DETERMINACION DE,35646, $49.904
COA,COAGULOGRAMA BASICO,2979, $4.171
CU,COBRE EN SANGRE,48447, $67.826
CU-U,COBRE en orina,48447, $67.826
COCAINA,COCAINA en orina,11594, $16.232
COFACTOR,COFACTOR DE RISTOCETINA,45761, $64.065
HDL,COLESTEROL HDL,1205, $1.687
LDL,COLESTEROL LDL,709, $993
COL,COLESTEROL TOTAL,1404, $1.966
VLD,COLESTEROL VLDL,921, $1.289
COLPSE,COLINESTERASA / PSEUDOCOLINESTERASA,1055, $1.477
C50,COMPLEMENTO Actividad total (CH50),120235, $168.329
C1Q,COMPLEMENTO C1Q,51907, $72.670
C3,COMPLEMENTO INMUNOQ. C3,1974, $2.764
C4,COMPLEMENTO INMUNOQ. C4,1974, $2.764
CBI,COOMBS INDIRECTA,43281, $60.593
CBD,COOMBS DIRECTA PRUEBA,29116, $40.762
CMF,COPROCULTIVO,11482, $16.075
CPO,COPROPORFIRINAS en orina,18535, $25.949
COR,CORTISOL PLASMATICO,2916, $4.082
COR-S,CORTISOL SALIVAL,5085, $7.119
COR-U,CORTISOL URINARIO,2916, $4.082
COR-V,CORTISOL VESPERTINO,2916, $4.082
CPK,CREATINQUINASA CPK,2090, $2.926
CKM,CPK-MB,5636, $7.890
CDC,CREATININA CLEARENCE O DEPURAC.,2891, $4.047
AS-CR-U,CREATININA en orina,1445, $2.023
CRE,CREATININA en sangre,1445, $2.023
CRG,CRIOGLOBULINAS,4513, $6.318
CALCSAL,Calculo Salival,29368, $41.115
CRUE,Creatinina en orina espontanea,1445, $2.023
DHEAS,DEHIDROEPIANDROSTERONA,34168, $47.835
DENGUE,DENGUE NS1 + Anticuerpos IgM+IgG,86500, $121.100
DMD,DIMERO 'D',29326, $41.056
DOP,DOPAMINA PLASMATICA,27764, $38.870
DOO,DOPAMINA TOTAL O LIBRE orina,27429, $38.401
ANG,ENZIMA CONVERTIDORA DE ANGIOTENSINA (ECA),38144, $53.402
EB VCA G,EPSTEIN BARR Ac. VCA IgG CAPSIDE,5769, $8.077
EB VCA M,EPSTEIN BARR Ac. VCA IgM CAPSIDE,6481, $9.073
EBNA G,EPSTEIN BARR EARLY ANTIGEN Ac.IgG,27387, $38.342
EPY,ERITROPOYETINA,10966, $15.352
ERI,ERITROSEDIMENTACION,580, $812
ESPC,ESPERMOCULTIVO,20090, $28.126
ESP,ESPERMOGRAMA,7020, $9.828
E2,ESTRADIOL PLASMASTICO,2402, $3.363
DOMI,EXTRACCION a DOMICILIO,8545, $11.963
ANAL-EX,EXUDADO ANAL,11489, $16.085
ENF,EXUDADO DE FAUCES,11489, $16.085
FR,FACTOR REUMATOIDEO (FR),2434, $3.408
FC2,FACTOR II de coagulacion,6104, $8.546
FC9,FACTOR IX de coagulacion,10171, $14.239
FC5,FACTOR V de coagulacion,10171, $14.239
FC7,FACTOR VII de coagulacion,10408, $14.571
FC8,FACTOR VIII de coagulacion,10171, $14.239
FC10,FACTOR X de coagulacion,10408, $14.571
AFA,FENIL ACETICO ACIDO,28147, $39.406
FEB,FENOBARBITAL,5044, $7.062
FER,FERREMIA,1373, $1.922
FET,FERRITINA,2979, $4.171
FIB,FIBRINOGENO EN SANGRE,1667, $2.334
AFO,FOLICO ACIDO,4632, $6.485
AFO ERI,FOLICO ACIDO ERITROCITARIO,5462, $7.647
AC FORM,FORMICO ACIDO en ORINA,17628, $24.679
FAP,FOSFATASA ACIDA PROSTATICA,1194, $1.672
FAL,FOSFATASA ALCALINA (FAL),2204, $3.086
FAL-O,FOSFATASA ALCALINA Osea (FAL O),15193, $21.270
FOU,FOSFATURIA,614, $860
FOS,FOSFORO en sangre,614, $860
ALG,FRUCTOSAMINA,1123, $1.572
FSH,FSH,1967, $2.754
FTA,FTA-ABS por IFI (ac. totales),3844, $5.382
GAs,GASTRINA,5943, $8.320
GS,GLAE/SBGH,9479, $13.271
GLU,GLUCEMIA,938, $1.313
GPP,GLUCEMIA POST PRANDIAL,2199, $3.079
GGT,GLUTAMIL TRANSPEPTIDASA GAMMA,1095, $1.533
GOC V,GONORREA CULTIVO SOLO VAGINAL,54703, $76.584
GOC SU,"GONORREA CULTIVO (SEMEN, URETRAL)",95000, $133.000
GRU,GRUPO SANGUINEO,5023, $7.032
HPY G,HELICOBACTER PYLORI Elisa IgG,15723, $22.012
HPY M,HELICOBACTER PYLORI Elisa IgM,29278, $40.989
HDH,HEMOGLOBINA ELECTROFORESIS DE,14426, $20.196
HGY,HEMOGLOBINA GLICOSILADA,3195, $4.473
HEM,HEMOGRAMA,2426, $3.396
HAV ac G,HEPAT. A  ANTIC.ANTI IgG,5057, $7.080
HAV ac M,HEPAT. A  ANTIC.ANTI IgM,5127, $7.178
HBSAG,HEPAT. B ANTIG. DE SUP (HBsAg),2602, $3.643
HBC Ac G,"HEPAT. B Ag. CORE, Ac. IgG",3069, $4.297
HBC Ac M,"HEPAT. B Ag. CORE, Ac. IgM",6271, $8.779
HBS Ac,HEPAT. B Ag. DE SUP  ANTIC.ANTI,3132, $4.385
HB-CV,HEPAT. B CARGA VIRAL,184266, $257.972
HCV G,HEPAT. C ANTIC.ANTI IgG ELISA,4758, $6.661
HBcAc-T,HEPATITIS B - ANTIC ANTI CORE TOTAL,3069, $4.297
HBCORE,HEPATITIS B CORE IGG,3069, $4.297
HEP,HEPATOGRAMA,3873, $5.422
HV1 GE,HERPES I ANTIC ANTI IGG ELISA,8838, $12.373
VHSM,HERPES I ANTIC. ANTI IgM,10792, $15.109
VHSG,HERPES II ANTIC. ANTI IgG,8838, $12.373
VHSM2,HERPES II ANTIC. ANTI IgM,10785, $15.099
AC HIP,HIPURICO ACIDO,17809, $24.933
HIV CV,HIV CARGA VIRAL,96469, $135.057
HIV,HIV - Anticuerpos anti HIV + Antigeno P24,3692, $5.169
HOMA,HOMA,1941, $2.717
HMC,HOMOCISTEINA en orina,10401, $14.561
HMS,HOMOCISTEINA en sangre,7011, $9.815
AHO,HOMOVANILICO ACIDO,25706, $35.988
AMH,HORMONA ANTI MULLERIANA,50700, $70.980
ADH,HORMONA ANTIDIURETICA,189526, $265.336
HUD,HUDDLESSON REACCION DE,4346, $6.084
IGA,INMUNOGLOBULINA A - IGA,2316, $3.242
IGAS,IGA SALIVAL,3216, $4.502
IGE,INMUNOGLOBULINA E - IGE,2449, $3.429
R CAR V,IGE ESPEC CARNE VACUNA,6843, $9.580
R ABEJA,IGE ESPECIFICA ABEJA,6843, $9.580
R ACARO,IGE ESPECIFICA ACAROS,6843, $9.580
R A-SIRO,IGE ESPECIFICA ACARUS SIRO,6843, $9.580
R AJI,IGE ESPECIFICA AJI COLORADO,6843, $9.580
R ALAMO,IGE ESPECIFICA ALAMO,6843, $9.580
R A LACT,IGE ESPECIFICA ALFA-LACTOALBUMINA,6843, $9.580
R ALMEN,IGE ESPECIFICA ALMENDRAS,6843, $9.580
R ALTER,IGE ESPECIFICA ALTERNARIA,6843, $9.580
R AMARA,IGE ESPECIFICA AMARANTUS,6843, $9.580
R AMBRO,IGE ESPECIFICA AMBROSIA,6843, $9.580
R AMOXI,IGE ESPECIFICA AMOXICILINA,6843, $9.580
R ARBOL,IGE ESPECIFICA ARBOL,6843, $9.580
R ARBUST,IGE ESPECIFICA ARBUSTO,6843, $9.580
R ARCE,IGE ESPECIFICA ARCE,6843, $9.580
R ASP-NI,IGE ESPECIFICA ARPERGILLUS NIGER,6843, $9.580
R ARTEMI,IGE ESPECIFICA ARTEMISA,6843, $9.580
R ASPER,IGE ESPECIFICA ASPERGILLUS,6843, $9.580
R ASP-FL,IGE ESPECIFICA ASPERGILLUS FLAVUS,6843, $9.580
R ASP-FU,IGE ESPECIFICA ASPERGILLUS FUMIGATUS,6843, $9.580
R ANANA,IGE ESPECIFICA ANANA,6843, $9.580
R AVENA,IGE ESPECIFICA AVENA,6843, $9.580
R BANANA,IGE ESPECIFICA BANANAS,6843, $9.580
R B LACT,IGE ESPECIFICA BETA-LACTOGLOBULINA,6843, $9.580
R CACAO,IGE ESPECIFICA CACAO,6843, $9.580
R CAMAR,IGE ESPECIFICA CAMARON,6843, $9.580
R CANDI,IGE ESPECIFICA CANDIDA ALBICANS,6843, $9.580
R CASEIN,IGE ESPECIFICA CASEINA,6843, $9.580
R H-CLAR,IGE ESPECIFICA CLARA DE HUEVO,6843, $9.580
R CAB-E,IGE ESPECIFICA EPITELIO DE CABALLO,6843, $9.580
R FRUTI,IGE ESPECIFICA FRUTILLAS,6843, $9.580
R LACTOA,IGE ESPECIFICA LACTOALBUMINA,6843, $9.580
R LECHE,IGE ESPECIFICA LECHE,6843, $9.580
R NUEZ,IGE ESPECIFICA NUEZ,6843, $9.580
R OVO,IGE ESPECIFICA OVOALBUMINA,6843, $9.580
R SOJA,IGE ESPECIFICA SOJA,6843, $9.580
R TOMA,IGE ESPECIFICA TOMATE,6843, $9.580
R OTROS,IGE ESPECIFICOS OTROS,6843, $9.580
R PENIN,IgE ESPECIFICA - PENICILINA INYECTABLE,6843, $9.580
IGF,IGF-I   -  SOMATOMEDINA C,10959, $15.343
IGG,INMUNOGLOBULINA G -IGG,1856, $2.598
IGM,INMUNOGLOBULINA M - IGM,1856, $2.598
INSUL,INSULINA SERICA TOTAL,2065, $2.891
ION,IONOGRAMA PLASMATICO,1172, $1.641
IOU,IONOGRAMA URINARIO,1228, $1.719
LDH,LACTICO DEHIDROGENASA LDH,956, $1.338
LAM,LAMOTRIGINA,39267, $54.974
LARC,LATEX ARTRITIS REUMATOIDEA CUANTITATIVO,1786, $2.500
LMF,LEUCOCITOS EN MATERIA FECAL,11308, $15.831
LH,LH HORMONA LUTEOTROFICA,2044, $2.862
LIP,LIPEMIA O LIPIDOS TOTALES EN SAN,1842, $2.579
LIG,LIPIDOGRAMA ELECTROFORETICO,1960, $2.744
