code,name,suggested_price_from_lab,price
BRR,BILIRRUBINEMIA TOT.DIR.INDIR.,64,$83
BPG,BORDETELLA PERTUSSIS IgG,3639,"$4,731"
BPM,BORDETELLA PERTUSSIS IgM,3639,"$4,731"
BRUCE G,BRUCELLA ANTIC.ANTI  ELISA IgG,1284,"$1,669"
BRUCE M,BRUCELLA ANTIC.ANTI  ELISA IgM,1284,"$1,669"
C125,CA 125 (ovario),469,$610
C15,CA 15/3 (mama),431,$561
C19,CA 19/9 (Digest.Ginecolog.),431,$561
C21,CA 21-1,4073,"$5,295"
C72,CA 72-4,2662,"$3,461"
CKO,CADENAS LIVIANAS en orina,5483,"$7,128"
CLKL,CADENAS LIVIANAS en suero cuali,6873,"$8,935"
CKL,"CADENAS LIVIANAS,KAPPA Y LAMBDA CUANTI",41119,"$53,455"
CADMIO,CADMIO Determinac.de,4036,"$5,246"
CA-CR-OC,CALCIO CREATININA EN ORINA OCACIONAL,350,$455
CAIL,CALCIO IONICO L,326,$424
CAS,CALCIO SERICO TOTAL,191,$249
CAU,CALCIO en orina,191,$249
CAUE,CALCIO en orina espontanea,192,$250
CAL,CALCITONINA Plasmática,968,"$1,258"
C BILIAR,CALCULO BILIAR,4193,"$5,451"
CBZ,CARBAMAZEPINA,717,$933
BGT,CARIOTIPO-BANDEO G-T,25650,"$33,344"
CRT,CARNITINA LIBRE Y TOTAL,35651,"$46,346"
CATP,CATECOLAMINAS PLASMATICAS,5871,"$7,633"
CATP,CATECOLAMINAS TOTALES-Orina,6397,"$8,316"
CD16,CD 16 SUBPOBLAC. LINFOCITARIA POR CF,3901,"$5,071"
CD19,CD 19 SUBPOBLAC. LINFOCITARIA Citometria de fluj,5068,"$6,589"
CD20,CD 20 SUBPOBLAC. LINFOCITARIA Citometria de fluj,3902,"$5,073"
CD3,CD 3 SUBPOBLACION LINFOCITARIA POR CF,3902,"$5,073"
CD57,CD 4 SUBPOBLAC. LINFOCITARIA Citometria de fluj,3902,"$5,073"
CD4,CD 4 SUBPOBLACION LINFOCITARIA POR CF,3902,"$5,073"
